"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Mookie Betts","Los Angeles Dodgers","OF",12.4,NA,NA
"Freddie Freeman","Los Angeles Dodgers","IF",11.6,NA,NA
"Clayton Kershaw","Los Angeles Dodgers","P",11.6,NA,NA
"Mike Trout","Los Angeles Angels","OF",11.4,NA,NA
"J.D. Martinez","Los Angeles Dodgers","OF",10.6,NA,NA
"Shohei Ohtani","Los Angeles Angels","OF",10.3,NA,NA
"Trayce Thompson","Los Angeles Dodgers","OF",10.3,NA,NA
"George Springer","Toronto Blue Jays","OF",10.3,NA,NA
"Will Smith","Los Angeles Dodgers","IF",10,NA,NA
"Max Muncy","Los Angeles Dodgers","IF",9.9,NA,NA
"Bo Bichette","Toronto Blue Jays","IF",9.9,NA,NA
"Taylor Ward","Los Angeles Angels","OF",9.6,NA,NA
"Vladimir Guerrero Jr.","Toronto Blue Jays","IF",9.5,NA,NA
"Chris Taylor","Los Angeles Dodgers","IF",9.5,NA,NA
"Chris Bassitt","Toronto Blue Jays","P",9.4,NA,NA
"Miguel Vargas","Los Angeles Dodgers","IF",9.2,NA,NA
"Matt Chapman","Toronto Blue Jays","IF",8.6,NA,NA
"Danny Jansen","Toronto Blue Jays","IF",8.6,NA,NA
"Alejandro Kirk","Toronto Blue Jays","IF",8.5,NA,NA
"Brandon Drury","Los Angeles Angels","IF",8.5,NA,NA
"Patrick Sandoval","Los Angeles Angels","P",8.2,NA,NA
"Whit Merrifield","Toronto Blue Jays","IF",8.1,NA,NA
"Miguel Rojas","Los Angeles Dodgers","IF",8,NA,NA
"Hunter Renfroe","Los Angeles Angels","OF",8,NA,NA
"Corbin Carroll","Arizona Diamondbacks","OF",7.9,NA,NA
"Gio Urshela","Los Angeles Angels","IF",7.7,NA,NA
"Jake Lamb","Los Angeles Angels","OF",7.5,NA,NA
"Daulton Varsho","Toronto Blue Jays","OF",7.4,NA,NA
"Ketel Marte","Arizona Diamondbacks","IF",7.3,NA,NA
"Evan Longoria","Arizona Diamondbacks","IF",7.1,NA,NA
"Jake McCarthy","Arizona Diamondbacks","OF",7,NA,NA
"Logan O'Hoppe","Los Angeles Angels","IF",6.9,NA,NA
"Kevin Kiermaier","Toronto Blue Jays","OF",6.8,NA,NA
"Christian Walker","Arizona Diamondbacks","IF",6.6,NA,NA
"Luis Rengifo","Los Angeles Angels","IF",6.6,NA,NA
"Kyle Lewis","Arizona Diamondbacks","OF",6.6,NA,NA
"Lourdes Gurriel Jr.","Arizona Diamondbacks","OF",6.4,NA,NA
"Nick Ahmed","Arizona Diamondbacks","IF",6.3,NA,NA
"Madison Bumgarner","Arizona Diamondbacks","P",6.1,NA,NA
"Gabriel Moreno","Arizona Diamondbacks","IF",5.5,NA,NA
"James Outman","Los Angeles Dodgers","OF",3.5,NA,NA
"Jared Walsh","Los Angeles Angels","IF",2.9,NA,NA
"Austin Barnes","Los Angeles Dodgers","IF",2.8,NA,NA
"Brandon Belt","Toronto Blue Jays","IF",2.7,NA,NA
"David Peralta","Los Angeles Dodgers","OF",2.7,NA,NA
"Brett Phillips","Los Angeles Angels","OF",2.6,NA,NA
"Cavan Biggio","Toronto Blue Jays","IF",2.6,NA,NA
"Santiago Espinal","Toronto Blue Jays","IF",2.5,NA,NA
"Jason Heyward","Los Angeles Dodgers","OF",2.5,NA,NA
"Josh Rojas","Arizona Diamondbacks","IF",2.3,NA,NA
"Matt Thaiss","Los Angeles Angels","IF",2.1,1000,2.1021021021021
"David Fletcher","Los Angeles Angels","IF",2.1,NA,NA
"Geraldo Perdomo","Arizona Diamondbacks","IF",1.7,1000,1.7017017017017
"Alek Thomas","Arizona Diamondbacks","OF",1.6,NA,NA
"Jose Herrera","Arizona Diamondbacks","IF",1.3,1000,1.3013013013013
"Jordan Romano","Toronto Blue Jays","P",0.8,NA,NA
"Evan Phillips","Los Angeles Dodgers","P",0.8,NA,NA
"Drey Jameson","Arizona Diamondbacks","P",0.7,NA,NA
"Anthony Bass","Toronto Blue Jays","P",0.7,NA,NA
"Trevor Richards","Toronto Blue Jays","P",0.7,NA,NA
"Yimi García","Toronto Blue Jays","P",0.6,NA,NA
"Adam Cimber","Toronto Blue Jays","P",0.6,NA,NA
"Ryan Tepera","Los Angeles Angels","P",0.6,NA,NA
"Andrew Chafin","Arizona Diamondbacks","P",0.6,NA,NA
"Carlos Vargas","Arizona Diamondbacks","P",0.6,NA,NA
"Matt Moore","Los Angeles Angels","P",0.5,NA,NA
"Aaron Loup","Los Angeles Angels","P",0.5,NA,NA
"Jaime Barría","Los Angeles Angels","P",0.5,NA,NA
"Brusdar Graterol","Los Angeles Dodgers","P",0.5,NA,NA
"Carlos Estévez","Los Angeles Angels","P",0.5,NA,NA
"Alex Vesia","Los Angeles Dodgers","P",0.4,NA,NA
"Erik Swanson","Toronto Blue Jays","P",0.3,NA,NA
"Tim Mayza","Toronto Blue Jays","P",0.2,NA,NA
"Miguel Castro","Arizona Diamondbacks","P",0.2,NA,NA
"Phil Bickford","Los Angeles Dodgers","P",0.2,NA,NA
"Scott McGough","Arizona Diamondbacks","P",0.2,NA,NA
"Jimmy Herget","Los Angeles Angels","P",0.2,NA,NA
"Yency Almonte","Los Angeles Dodgers","P",0.2,NA,NA
"Cole Sulser","Arizona Diamondbacks","P",0.2,NA,NA
"Caleb Ferguson","Los Angeles Dodgers","P",0.2,NA,NA
"Kyle Nelson","Arizona Diamondbacks","P",0.1,1000,0.1001001001001
"Kevin Ginkel","Arizona Diamondbacks","P",0.1,1000,0.1001001001001
"Andrew Wantz","Los Angeles Angels","P",0.1,NA,NA
"Zach Pop","Toronto Blue Jays","P",0.1,NA,NA
"José Quijada","Los Angeles Angels","P",0.1,NA,NA
