"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Shane Bieber","Cleveland Guardians","P",12.2,NA,NA
"Luis Castillo","Seattle Mariners","P",11.5,NA,NA
"Mookie Betts","Los Angeles Dodgers","OF",11.4,NA,NA
"Julio Urías","Los Angeles Dodgers","P",11.2,NA,NA
"José Ramírez","Cleveland Guardians","IF",10.9,NA,NA
"Freddie Freeman","Los Angeles Dodgers","IF",10.8,NA,NA
"Julio Rodríguez","Seattle Mariners","OF",10.5,NA,NA
"Will Smith","Los Angeles Dodgers","IF",10.3,NA,NA
"Mike Trout","Los Angeles Angels","OF",10.1,NA,NA
"Teoscar Hernández","Seattle Mariners","OF",9.6,NA,NA
"Max Muncy","Los Angeles Dodgers","IF",9.4,NA,NA
"Amed Rosario","Cleveland Guardians","IF",9.3,NA,NA
"C.J. Cron","Colorado Rockies","IF",9.1,NA,NA
"Shohei Ohtani","Los Angeles Angels","OF",9.1,NA,NA
"J.D. Martinez","Los Angeles Dodgers","OF",9.1,NA,NA
"Andrés Giménez","Cleveland Guardians","IF",9,NA,NA
"Kris Bryant","Colorado Rockies","OF",9,NA,NA
"Eugenio Suárez","Seattle Mariners","IF",8.8,NA,NA
"David Peralta","Los Angeles Dodgers","OF",8.7,NA,NA
"James Outman","Los Angeles Dodgers","OF",8.6,NA,NA
"AJ Pollock","Seattle Mariners","OF",8.6,NA,NA
"Ty France","Seattle Mariners","IF",8.5,NA,NA
"Taylor Ward","Los Angeles Angels","OF",8.4,NA,NA
"Mike Zunino","Cleveland Guardians","IF",8.3,NA,NA
"Josh Bell","Cleveland Guardians","IF",8.2,NA,NA
"Steven Kwan","Cleveland Guardians","OF",8.2,NA,NA
"Cal Raleigh","Seattle Mariners","IF",8,NA,NA
"Germán Márquez","Colorado Rockies","P",8,NA,NA
"Miguel Vargas","Los Angeles Dodgers","IF",7.8,NA,NA
"Oscar Gonzalez","Cleveland Guardians","OF",7.7,NA,NA
"José Suarez","Los Angeles Angels","P",7.7,NA,NA
"Brandon Drury","Los Angeles Angels","IF",7.6,NA,NA
"Seth Brown","Oakland Athletics","OF",7.6,NA,NA
"Jace Peterson","Oakland Athletics","IF",7.6,NA,NA
"Tom Murphy","Seattle Mariners","IF",7.5,NA,NA
"Esteury Ruiz","Oakland Athletics","OF",7.4,NA,NA
"Charlie Blackmon","Colorado Rockies","OF",7.4,NA,NA
"Hunter Renfroe","Los Angeles Angels","OF",7.4,NA,NA
"Elehuris Montero","Colorado Rockies","IF",7.2,NA,NA
"Jurickson Profar","Colorado Rockies","OF",7.2,NA,NA
"Yonathan Daza","Colorado Rockies","OF",7.2,NA,NA
"Elias Díaz","Colorado Rockies","IF",7.1,NA,NA
"Ryan Noda","Oakland Athletics","IF",7.1,NA,NA
"Josh Naylor","Cleveland Guardians","IF",7.1,NA,NA
"Tony Kemp","Oakland Athletics","IF",7,NA,NA
"Sam Haggerty","Seattle Mariners","OF",7,NA,NA
"Miguel Rojas","Los Angeles Dodgers","IF",7,NA,NA
"Gio Urshela","Los Angeles Angels","IF",6.9,NA,NA
"Ezequiel Tovar","Colorado Rockies","IF",6.9,NA,NA
"Alan Trejo","Colorado Rockies","IF",6.8,NA,NA
"Aledmys Díaz","Oakland Athletics","IF",6.8,NA,NA
"Myles Straw","Cleveland Guardians","OF",6.8,NA,NA
"Jesús Aguilar","Oakland Athletics","OF",6.8,NA,NA
"Ramón Laureano","Oakland Athletics","OF",6.7,NA,NA
"Jake Lamb","Los Angeles Angels","OF",6.7,NA,NA
"JP Sears","Oakland Athletics","P",6.5,NA,NA
"Carlos Pérez","Oakland Athletics","IF",6.3,NA,NA
"Logan O'Hoppe","Los Angeles Angels","IF",6.3,NA,NA
"J.P. Crawford","Seattle Mariners","IF",6,NA,NA
"Luis Rengifo","Los Angeles Angels","IF",5.8,NA,NA
"Trayce Thompson","Los Angeles Dodgers","OF",3.6,NA,NA
"Gabriel Arias","Cleveland Guardians","IF",3.3,NA,NA
"Chris Taylor","Los Angeles Dodgers","IF",2.9,NA,NA
"Will Brennan","Cleveland Guardians","OF",2.8,NA,NA
"Jason Heyward","Los Angeles Dodgers","OF",2.5,NA,NA
"Austin Barnes","Los Angeles Dodgers","IF",2.5,NA,NA
"Conner Capel","Oakland Athletics","OF",2.4,NA,NA
"Kolten Wong","Seattle Mariners","IF",2.4,NA,NA
"Jarred Kelenic","Seattle Mariners","OF",2.4,NA,NA
"Ryan McMahon","Colorado Rockies","IF",2.4,NA,NA
"Brett Phillips","Los Angeles Angels","OF",2.3,NA,NA
"Cooper Hummel","Seattle Mariners","OF",2.3,NA,NA
"Tommy La Stella","Seattle Mariners","IF",2.3,NA,NA
