"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Mookie Betts","Los Angeles Dodgers","OF",12.8,NA,NA
"Clayton Kershaw","Los Angeles Dodgers","P",12.4,NA,NA
"Freddie Freeman","Los Angeles Dodgers","IF",11.4,NA,NA
"Julio Rodríguez","Seattle Mariners","OF",10.9,NA,NA
"Will Smith","Los Angeles Dodgers","IF",10.7,NA,NA
"J.D. Martinez","Los Angeles Dodgers","OF",10.6,NA,NA
"Miguel Vargas","Los Angeles Dodgers","IF",10.4,NA,NA
"Max Muncy","Los Angeles Dodgers","IF",9.9,NA,NA
"José Ramírez","Cleveland Guardians","IF",9.9,NA,NA
"Chris Taylor","Los Angeles Dodgers","IF",9.5,NA,NA
"Jarred Kelenic","Seattle Mariners","OF",9.5,NA,NA
"Kolten Wong","Seattle Mariners","IF",9.1,NA,NA
"Teoscar Hernández","Seattle Mariners","OF",9,NA,NA
"Trayce Thompson","Los Angeles Dodgers","OF",8.8,NA,NA
"Logan Gilbert","Seattle Mariners","P",8.8,NA,NA
"Aaron Civale","Cleveland Guardians","P",8.7,NA,NA
"Ty France","Seattle Mariners","IF",8.7,NA,NA
"Cal Raleigh","Seattle Mariners","IF",8.7,NA,NA
"Eugenio Suárez","Seattle Mariners","IF",8.5,NA,NA
"Steven Kwan","Cleveland Guardians","OF",8.4,NA,NA
"Andrés Giménez","Cleveland Guardians","IF",8,NA,NA
"Miguel Rojas","Los Angeles Dodgers","IF",8,NA,NA
"Corbin Carroll","Arizona Diamondbacks","OF",7.6,NA,NA
"Josh Naylor","Cleveland Guardians","IF",7.6,NA,NA
"Josh Bell","Cleveland Guardians","IF",7.5,NA,NA
"Tommy La Stella","Seattle Mariners","IF",7.5,NA,NA
"Ketel Marte","Arizona Diamondbacks","IF",7.3,NA,NA
"Will Brennan","Cleveland Guardians","OF",7.3,NA,NA
"Evan Longoria","Arizona Diamondbacks","IF",7.3,NA,NA
"Amed Rosario","Cleveland Guardians","IF",7.1,NA,NA
"Mike Zunino","Cleveland Guardians","IF",7,NA,NA
"Kyle Lewis","Arizona Diamondbacks","OF",7,NA,NA
"Christian Walker","Arizona Diamondbacks","IF",6.9,NA,NA
"Lourdes Gurriel Jr.","Arizona Diamondbacks","OF",6.8,NA,NA
"Jake McCarthy","Arizona Diamondbacks","OF",6.7,NA,NA
"J.P. Crawford","Seattle Mariners","IF",6.6,NA,NA
"Nick Ahmed","Arizona Diamondbacks","IF",6.4,NA,NA
"Myles Straw","Cleveland Guardians","OF",6,NA,NA
"Madison Bumgarner","Arizona Diamondbacks","P",5.9,NA,NA
"Gabriel Moreno","Arizona Diamondbacks","IF",5.6,NA,NA
"James Outman","Los Angeles Dodgers","OF",3.1,NA,NA
"Austin Barnes","Los Angeles Dodgers","IF",2.8,NA,NA
"Gabriel Arias","Cleveland Guardians","IF",2.8,NA,NA
"AJ Pollock","Seattle Mariners","OF",2.8,NA,NA
"David Peralta","Los Angeles Dodgers","OF",2.6,NA,NA
"Sam Haggerty","Seattle Mariners","OF",2.5,NA,NA
"Oscar Gonzalez","Cleveland Guardians","OF",2.4,NA,NA
"Cooper Hummel","Seattle Mariners","OF",2.4,NA,NA
"Jason Heyward","Los Angeles Dodgers","OF",2.3,NA,NA
"Tom Murphy","Seattle Mariners","IF",2.3,NA,NA
"Josh Rojas","Arizona Diamondbacks","IF",2.2,NA,NA
"Cam Gallagher","Cleveland Guardians","IF",2.1,NA,NA
"Meibrys Viloria","Cleveland Guardians","IF",1.7,1000,1.7017017017017
"Geraldo Perdomo","Arizona Diamondbacks","IF",1.7,1000,1.7017017017017
"Alek Thomas","Arizona Diamondbacks","OF",1.7,1000,1.7017017017017
"Jose Herrera","Arizona Diamondbacks","IF",1.2,1000,1.2012012012012
"Evan Phillips","Los Angeles Dodgers","P",0.8,NA,NA
"Drey Jameson","Arizona Diamondbacks","P",0.7,NA,NA
"Emmanuel Clase","Cleveland Guardians","P",0.7,NA,NA
"Diego Castillo","Seattle Mariners","P",0.6,NA,NA
"Tim Herrin","Cleveland Guardians","P",0.6,NA,NA
"Eli Morgan","Cleveland Guardians","P",0.6,NA,NA
"Andrew Chafin","Arizona Diamondbacks","P",0.6,NA,NA
"Carlos Vargas","Arizona Diamondbacks","P",0.6,NA,NA
"Brusdar Graterol","Los Angeles Dodgers","P",0.5,NA,NA
"James Karinchak","Cleveland Guardians","P",0.4,NA,NA
"Alex Vesia","Los Angeles Dodgers","P",0.4,NA,NA
"Trevor Stephan","Cleveland Guardians","P",0.3,NA,NA
"Andrés Muñoz","Seattle Mariners","P",0.3,NA,NA
"Paul Sewald","Seattle Mariners","P",0.3,NA,NA
"Phil Bickford","Los Angeles Dodgers","P",0.2,NA,NA
"Enyel De Los Santos","Cleveland Guardians","P",0.2,NA,NA
"Miguel Castro","Arizona Diamondbacks","P",0.2,NA,NA
"Nick Sandlin","Cleveland Guardians","P",0.2,NA,NA
"Scott McGough","Arizona Diamondbacks","P",0.2,NA,NA
"Chris Flexen","Seattle Mariners","P",0.2,NA,NA
"Yency Almonte","Los Angeles Dodgers","P",0.2,NA,NA
"Caleb Ferguson","Los Angeles Dodgers","P",0.2,NA,NA
