"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Alek Manoah","Toronto Blue Jays","P",11.1,NA,NA
"Mike Trout","Los Angeles Angels","OF",11,NA,NA
"Bo Bichette","Toronto Blue Jays","IF",10,NA,NA
"George Springer","Toronto Blue Jays","OF",9.9,NA,NA
"Shohei Ohtani","Los Angeles Angels","OF",9.9,NA,NA
"Vladimir Guerrero Jr.","Toronto Blue Jays","IF",9.8,NA,NA
"Brandon Belt","Toronto Blue Jays","IF",9.4,NA,NA
"Taylor Ward","Los Angeles Angels","OF",9.4,NA,NA
"Daulton Varsho","Toronto Blue Jays","OF",9.1,NA,NA
"Julio Rodríguez","Seattle Mariners","OF",9.1,NA,NA
"Bobby Witt Jr.","Kansas City Royals","IF",8.5,NA,NA
"Matt Chapman","Toronto Blue Jays","IF",8.5,NA,NA
"MJ Melendez","Kansas City Royals","IF",8.4,NA,NA
"Alejandro Kirk","Toronto Blue Jays","IF",8.4,NA,NA
"Brandon Drury","Los Angeles Angels","IF",8.4,NA,NA
"Chris Flexen","Seattle Mariners","P",8.3,NA,NA
"Whit Merrifield","Toronto Blue Jays","IF",8.2,NA,NA
"Salvador Perez","Kansas City Royals","IF",8.1,NA,NA
"Kevin Kiermaier","Toronto Blue Jays","OF",8,NA,NA
"Jarred Kelenic","Seattle Mariners","OF",7.8,NA,NA
"Hunter Renfroe","Los Angeles Angels","OF",7.8,NA,NA
"Vinnie Pasquantino","Kansas City Royals","IF",7.7,NA,NA
"Kolten Wong","Seattle Mariners","IF",7.6,NA,NA
"Nate Eaton","Kansas City Royals","OF",7.6,NA,NA
"Gio Urshela","Los Angeles Angels","IF",7.5,NA,NA
"Teoscar Hernández","Seattle Mariners","OF",7.3,NA,NA
"Kyle Isbel","Kansas City Royals","OF",7.3,NA,NA
"Ty France","Seattle Mariners","IF",7.3,NA,NA
"Jake Lamb","Los Angeles Angels","OF",7.1,NA,NA
"Eugenio Suárez","Seattle Mariners","IF",7.1,NA,NA
"Zack Greinke","Kansas City Royals","P",7.1,NA,NA
"Michael Massey","Kansas City Royals","IF",7,NA,NA
"Cal Raleigh","Seattle Mariners","IF",7,NA,NA
"Logan O'Hoppe","Los Angeles Angels","IF",6.8,NA,NA
"Edward Olivares","Kansas City Royals","OF",6.7,NA,NA
"Hunter Dozier","Kansas City Royals","IF",6.6,NA,NA
"Luis Rengifo","Los Angeles Angels","IF",6.4,NA,NA
"Tommy La Stella","Seattle Mariners","IF",6.3,NA,NA
"J.P. Crawford","Seattle Mariners","IF",5.7,NA,NA
"Danny Jansen","Toronto Blue Jays","IF",2.9,NA,NA
"Cavan Biggio","Toronto Blue Jays","IF",2.7,NA,NA
"Santiago Espinal","Toronto Blue Jays","IF",2.5,NA,NA
"Brett Phillips","Los Angeles Angels","OF",2.4,NA,NA
"AJ Pollock","Seattle Mariners","OF",2.3,NA,NA
"Franmil Reyes","Kansas City Royals","OF",2.3,NA,NA
"Sam Haggerty","Seattle Mariners","OF",2.2,NA,NA
"Matt Duffy","Kansas City Royals","IF",2.1,NA,NA
"Jackie Bradley Jr.","Kansas City Royals","OF",2.1,NA,NA
"Nicky Lopez","Kansas City Royals","IF",2.1,NA,NA
"Cooper Hummel","Seattle Mariners","OF",2.1,NA,NA
"Matt Thaiss","Los Angeles Angels","IF",2.1,NA,NA
"Tom Murphy","Seattle Mariners","IF",2,1000,2.002002002002
"David Fletcher","Los Angeles Angels","IF",2,1000,2.002002002002
"Ryan Yarbrough","Kansas City Royals","P",0.9,NA,NA
"Jordan Romano","Toronto Blue Jays","P",0.8,NA,NA
"Scott Barlow","Kansas City Royals","P",0.7,NA,NA
"Anthony Bass","Toronto Blue Jays","P",0.7,NA,NA
"Trevor Richards","Toronto Blue Jays","P",0.7,NA,NA
"Diego Castillo","Seattle Mariners","P",0.7,NA,NA
"Yimi García","Toronto Blue Jays","P",0.6,NA,NA
"Ryan Tepera","Los Angeles Angels","P",0.6,NA,NA
"Adam Cimber","Toronto Blue Jays","P",0.6,NA,NA
"Matt Moore","Los Angeles Angels","P",0.6,NA,NA
"Aaron Loup","Los Angeles Angels","P",0.5,NA,NA
"Jaime Barría","Los Angeles Angels","P",0.5,NA,NA
"Carlos Estévez","Los Angeles Angels","P",0.5,NA,NA
"Taylor Clarke","Kansas City Royals","P",0.5,NA,NA
"Andrés Muñoz","Seattle Mariners","P",0.4,NA,NA
"Carlos Hernández","Kansas City Royals","P",0.4,NA,NA
"Paul Sewald","Seattle Mariners","P",0.3,NA,NA
"Erik Swanson","Toronto Blue Jays","P",0.3,NA,NA
"Aroldis Chapman","Kansas City Royals","P",0.3,NA,NA
"Tim Mayza","Toronto Blue Jays","P",0.3,NA,NA
"Jimmy Herget","Los Angeles Angels","P",0.2,NA,NA
"Penn Murfee","Seattle Mariners","P",0.2,NA,NA
"Andrew Wantz","Los Angeles Angels","P",0.2,NA,NA
"Amir Garrett","Kansas City Royals","P",0.2,NA,NA
"Dylan Coleman","Kansas City Royals","P",0.2,NA,NA
"José Quijada","Los Angeles Angels","P",0.2,NA,NA
"Trevor Gott","Seattle Mariners","P",0.1,1000,0.1001001001001
"Jose Cuas","Kansas City Royals","P",0.1,1000,0.1001001001001
"Matt Brash","Seattle Mariners","P",0.1,NA,NA
"Matt Festa","Seattle Mariners","P",0.1,NA,NA
"Zach Pop","Toronto Blue Jays","P",0.1,NA,NA
"Gabe Speier","Seattle Mariners","P",0,1000,0
"Drew Waters","Kansas City Royals","OF",0,1000,0
"José Berríos","Toronto Blue Jays","P",0,1000,0
"Jonathan Heasley","Kansas City Royals","P",0,1000,0
"Luis Castillo","Seattle Mariners","P",0,1000,0
"Tyler Anderson","Los Angeles Angels","P",0,1000,0
"Brennan Bernardino","Seattle Mariners","P",0,1000,0
"Justin Garza","Los Angeles Angels","P",0,1000,0
"Max Castillo","Kansas City Royals","P",0,1000,0
"Anthony Rendon","","IF",0,1000,0
"Brady Singer","Kansas City Royals","P",0,1000,0
"Tucker Davidson","Los Angeles Angels","P",0,1000,0
"Patrick Sandoval","Los Angeles Angels","P",0,1000,0
"Zack Weiss","Los Angeles Angels","P",0,1000,0
"Taylor Trammell","Seattle Mariners","OF",0,1000,0
"Jake Brentz","Kansas City Royals","P",0,1000,0
"Jared Walsh","Los Angeles Angels","IF",0,1000,0
"Dylan Moore","Seattle Mariners","OF",0,1000,0
"Justin Topa","Seattle Mariners","P",0,1000,0
"Max Stassi","Los Angeles Angels","IF",0,1000,0
"José Suarez","Los Angeles Angels","P",0,1000,0
"Daniel Lynch","Kansas City Royals","P",0,1000,0
"Jay Jackson","Toronto Blue Jays","P",0,1000,0
"Chase Silseth","Los Angeles Angels","P",0,1000,0
"Griffin Canning","Los Angeles Angels","P",0,1000,0
"José Marte","Los Angeles Angels","P",0,1000,0
"Robbie Ray","Seattle Mariners","P",0,1000,0
"Chad Green","Toronto Blue Jays","P",0,1000,0
"Easton McGee","Seattle Mariners","P",0,1000,0
"Chris Rodriguez","Los Angeles Angels","P",0,1000,0
"Marco Gonzales","Seattle Mariners","P",0,1000,0
"Jordan Lyles","Kansas City Royals","P",0,1000,0
"Hyun Jin Ryu","Toronto Blue Jays","P",0,1000,0
"Logan Gilbert","Seattle Mariners","P",0,1000,0
"Nate Pearson","Toronto Blue Jays","P",0,1000,0
"Brad Keller","Kansas City Royals","P",0,1000,0
"Yusei Kikuchi","Toronto Blue Jays","P",0,1000,0
"Kris Bubic","Kansas City Royals","P",0,1000,0
"Josh Taylor","Kansas City Royals","P",0,1000,0
"Chris Bassitt","Toronto Blue Jays","P",0,1000,0
"Thomas Hatch","Toronto Blue Jays","P",0,1000,0
"Nathan Lukes","Toronto Blue Jays","OF",0,1000,0
"Kevin Gausman","Toronto Blue Jays","P",0,1000,0
"Zach Thompson","Toronto Blue Jays","P",0,1000,0
"George Kirby","Seattle Mariners","P",0,1000,0
"Mitch White","Toronto Blue Jays","P",0,1000,0
"Collin Snider","Kansas City Royals","P",0,1000,0
"Tayler Saucedo","Seattle Mariners","P",0,1000,0
"Reid Detmers","Los Angeles Angels","P",0,1000,0
"Josh Staumont","Kansas City Royals","P",0,1000,0
"Trent Thornton","Toronto Blue Jays","P",0,1000,0
"Jackson Kowar","Kansas City Royals","P",0,1000,0
"Angel Zerpa","Kansas City Royals","P",0,1000,0
