"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Mike Trout","Los Angeles Angels","OF",12.5,1.1,137.5
"Freddie Freeman","Los Angeles Dodgers","IF",12.3,2.7,19.5352941176471
"Mookie Betts","Los Angeles Dodgers","OF",11.8,3.4,16.7166666666667
"Trea Turner","Philadelphia Phillies","IF",11.7,4.9,14.7
"Manny Machado","San Diego Padres","IF",11.7,6.3,13.9075471698113
"Shohei Ohtani","Los Angeles Angels","OF",10.4,4.9,13.0666666666667
"Trayce Thompson","Los Angeles Dodgers","OF",11.8,14.3,12.6872180451128
"Xander Bogaerts","San Diego Padres","IF",11.1,9.2,12.4536585365854
"Juan Soto","San Diego Padres","OF",10.3,8.1,11.7507042253521
"José Ramírez","Cleveland Guardians","IF",10.5,10.8,11.5714285714286
"Will Smith","Los Angeles Dodgers","IF",10.6,12.1,11.554954954955
"Hunter Renfroe","Los Angeles Angels","OF",10.6,18.2,11.2162790697674
"Julio Rodríguez","Seattle Mariners","OF",10,9.8,11.1363636363636
"J.T. Realmuto","Philadelphia Phillies","IF",10.3,20.2,10.8364583333333
"Marcus Semien","Texas Rangers","IF",10.1,17,10.73125
"Corey Seager","Texas Rangers","IF",10,15.1,10.709219858156
"Taylor Ward","Los Angeles Angels","OF",9.9,18.2,10.4755813953488
"Nelson Cruz","San Diego Padres","OF",10,22.4,10.4672897196262
"Nick Castellanos","Philadelphia Phillies","OF",9.8,23.9,10.2279475982533
"Brandon Drury","Los Angeles Angels","IF",9.8,29.3,10.1462897526502
"Alec Bohm","Philadelphia Phillies","IF",9.7,27.5,10.0660377358491
"Tyler Anderson","Los Angeles Angels","P",9.3,15.5,9.94137931034483
"Nathaniel Lowe","Texas Rangers","IF",9.4,24.1,9.80692640692641
"Seth Lugo","San Diego Padres","P",9.2,17.5,9.75757575757576
"Bailey Falter","Philadelphia Phillies","P",9.4,32.1,9.70225080385852
"Esteury Ruiz","Oakland Athletics","OF",9.4,35.3,9.67405247813411
"C.J. Cron","Colorado Rockies","IF",9.2,24.5,9.59148936170213
"J.D. Martinez","Los Angeles Dodgers","OF",9.2,25.6,9.5739837398374
"Gabriel Arias","Cleveland Guardians","IF",9.2,35.4,9.46744186046512
"Martín Pérez","Texas Rangers","P",9,30.9,9.3010033444816
"Jake McCarthy","Arizona Diamondbacks","OF",9,30.9,9.3010033444816
"James Outman","Los Angeles Dodgers","OF",9,30.9,9.3010033444816
"Corbin Carroll","Arizona Diamondbacks","OF",9,33.2,9.27950310559006
"Josh Jung","Texas Rangers","IF",9,35.6,9.26011560693642
"Adolis García","Texas Rangers","OF",8.9,28.3,9.22600732600733
