"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Spencer Strider","Atlanta Braves","P",12,NA,NA
"Blake Snell","San Diego Padres","P",11.4,NA,NA
"Freddie Freeman","Los Angeles Dodgers","IF",11,NA,NA
"Ronald Acuña Jr.","Atlanta Braves","OF",10.9,NA,NA
"Mookie Betts","Los Angeles Dodgers","OF",10.2,NA,NA
"Dustin May","Los Angeles Dodgers","P",9.9,NA,NA
"Will Smith","Los Angeles Dodgers","IF",9.6,NA,NA
"Juan Soto","San Diego Padres","OF",9.4,NA,NA
"Austin Riley","Atlanta Braves","IF",9.4,NA,NA
"Corbin Carroll","Arizona Diamondbacks","OF",9.2,NA,NA
"Jake McCarthy","Arizona Diamondbacks","OF",8.8,NA,NA
"Matt Olson","Atlanta Braves","IF",8.7,NA,NA
"Merrill Kelly","Arizona Diamondbacks","P",8.7,NA,NA
"Ozzie Albies","Atlanta Braves","IF",8.6,NA,NA
"Miguel Vargas","Los Angeles Dodgers","IF",8.5,NA,NA
"David Peralta","Los Angeles Dodgers","OF",8.4,NA,NA
"Max Muncy","Los Angeles Dodgers","IF",8.3,NA,NA
"James Outman","Los Angeles Dodgers","OF",8.2,NA,NA
"Travis d'Arnaud","Atlanta Braves","IF",8.2,NA,NA
"Manny Machado","San Diego Padres","IF",8.1,NA,NA
"J.D. Martinez","Los Angeles Dodgers","OF",8.1,NA,NA
"Josh Rojas","Arizona Diamondbacks","IF",7.8,NA,NA
"Xander Bogaerts","San Diego Padres","IF",7.7,NA,NA
"Kevin Pillar","Atlanta Braves","OF",7.5,NA,NA
"Sean Murphy","Atlanta Braves","IF",7.5,NA,NA
"Christian Walker","Arizona Diamondbacks","IF",7.5,NA,NA
"Ketel Marte","Arizona Diamondbacks","IF",7.4,NA,NA
"Michael Harris II","Atlanta Braves","OF",7.4,NA,NA
"Matt Carpenter","San Diego Padres","OF",7.4,NA,NA
"Trent Grisham","San Diego Padres","OF",7.3,NA,NA
"Jake Cronenworth","San Diego Padres","IF",7.2,NA,NA
"Lourdes Gurriel Jr.","Arizona Diamondbacks","OF",7,NA,NA
"Orlando Arcia","Atlanta Braves","IF",7,NA,NA
"Alek Thomas","Arizona Diamondbacks","OF",6.2,NA,NA
"Austin Nola","San Diego Padres","IF",6,NA,NA
"Gabriel Moreno","Arizona Diamondbacks","IF",5.9,NA,NA
"Rougned Odor","San Diego Padres","IF",5.8,NA,NA
"Ha-Seong Kim","San Diego Padres","IF",5.6,NA,NA
"Geraldo Perdomo","Arizona Diamondbacks","IF",5.6,NA,NA
"Trayce Thompson","Los Angeles Dodgers","OF",3.3,NA,NA
"Chris Taylor","Los Angeles Dodgers","IF",2.7,NA,NA
"Kyle Lewis","Arizona Diamondbacks","OF",2.6,NA,NA
"Marcell Ozuna","Atlanta Braves","OF",2.5,NA,NA
"Jason Heyward","Los Angeles Dodgers","OF",2.5,NA,NA
"Evan Longoria","Arizona Diamondbacks","IF",2.5,NA,NA
"Austin Barnes","Los Angeles Dodgers","IF",2.3,NA,NA
"Sam Hilliard","Atlanta Braves","OF",2.3,NA,NA
"Nelson Cruz","San Diego Padres","OF",2.3,NA,NA
"Eddie Rosario","Atlanta Braves","OF",2.2,1000,2.2022022022022
"Luis Campusano","San Diego Padres","IF",2.2,NA,NA
"José Azocar","San Diego Padres","OF",2.1,1000,2.1021021021021
"Ehire Adrianza","Atlanta Braves","IF",2.1,NA,NA
"Nick Ahmed","Arizona Diamondbacks","IF",2.1,NA,NA
"David Dahl","San Diego Padres","OF",1.8,1000,1.8018018018018
"Jose Herrera","Arizona Diamondbacks","IF",1.3,NA,NA
"Dylan Lee","Atlanta Braves","P",0.8,NA,NA
"Evan Phillips","Los Angeles Dodgers","P",0.7,NA,NA
"A.J. Minter","Atlanta Braves","P",0.7,NA,NA
"Drey Jameson","Arizona Diamondbacks","P",0.7,NA,NA
"Nabil Crismatt","San Diego Padres","P",0.6,NA,NA
"Michael Tonkin","Atlanta Braves","P",0.6,NA,NA
"Joe Jiménez","Atlanta Braves","P",0.6,NA,NA
"Andrew Chafin","Arizona Diamondbacks","P",0.6,NA,NA
"Carlos Vargas","Arizona Diamondbacks","P",0.6,NA,NA
"Jesse Chavez","Atlanta Braves","P",0.5,NA,NA
"Brusdar Graterol","Los Angeles Dodgers","P",0.5,NA,NA
"Josh Hader","San Diego Padres","P",0.5,NA,NA
"Alex Vesia","Los Angeles Dodgers","P",0.4,NA,NA
"Lucas Luetge","Atlanta Braves","P",0.3,NA,NA
"Miguel Castro","Arizona Diamondbacks","P",0.2,NA,NA
"Luis García","San Diego Padres","P",0.2,NA,NA
"Phil Bickford","Los Angeles Dodgers","P",0.2,NA,NA
"Scott McGough","Arizona Diamondbacks","P",0.2,NA,NA
"Caleb Ferguson","Los Angeles Dodgers","P",0.2,NA,NA
"Cole Sulser","Arizona Diamondbacks","P",0.2,NA,NA
"Tim Hill","San Diego Padres","P",0.2,NA,NA
"Kyle Nelson","Arizona Diamondbacks","P",0.1,1000,0.1001001001001
"Kevin Ginkel","Arizona Diamondbacks","P",0.1,1000,0.1001001001001
"Yency Almonte","Los Angeles Dodgers","P",0.1,NA,NA
"Steven Wilson","San Diego Padres","P",0.1,NA,NA
"Nick Anderson","Atlanta Braves","P",0.1,NA,NA
"Andre Jackson","Los Angeles Dodgers","P",0,1000,0
"Domingo Tapia","San Diego Padres","P",0,1000,0
"Shelby Miller","Los Angeles Dodgers","P",0,1000,0
"Kirby Yates","Atlanta Braves","P",0,1000,0
"Daniel Hudson","Los Angeles Dodgers","P",0,1000,0
"Drew Pomeranz","San Diego Padres","P",0,1000,0
"Mark Melancon","Arizona Diamondbacks","P",0,1000,0
"Noah Syndergaard","Los Angeles Dodgers","P",0,1000,0
"Robert Suarez","San Diego Padres","P",0,1000,0
"Seth Lugo","San Diego Padres","P",0,1000,0
"Reiss Knehr","San Diego Padres","P",0,1000,0
"Richard Lovelady","Atlanta Braves","P",0,1000,0
