"Name","teamName","slotName","projectedPoints","final_adp","adp_adj_pts"
"Brandon Woodruff","Milwaukee Brewers","P",12.8,2.5,21.3333333333333
"Kevin Gausman","Toronto Blue Jays","P",11.1,6.6,13.0821428571429
"Yordan Alvarez","Houston Astros","OF",11,1.4,38.5
"Justin Steele","Chicago Cubs","P",10.7,16.4,11.3948051948052
"Kyle Tucker","Houston Astros","OF",10.1,4.6,12.9055555555556
"Vladimir Guerrero Jr.","Toronto Blue Jays","IF",9.9,4.9,12.4384615384615
"William Contreras","Milwaukee Brewers","IF",9.9,12.6,10.7534482758621
"José Urquidy","Houston Astros","P",9.7,23.6,10.129203539823
"Lucas Giolito","Chicago White Sox","P",9.5,15.4,10.1597222222222
"George Springer","Toronto Blue Jays","OF",9.4,4,12.5333333333333
"Bo Bichette","Toronto Blue Jays","IF",9.4,6.9,10.993220338983
"Willy Adames","Milwaukee Brewers","IF",9.2,20.8,9.66464646464646
"Paul Goldschmidt","St. Louis Cardinals","IF",9.1,8.8,10.2666666666667
"Danny Jansen","Toronto Blue Jays","IF",9.1,10,10.1111111111111
"Jack Flaherty","St. Louis Cardinals","P",9.1,32.5,9.38888888888889
"Alex Bregman","Houston Astros","IF",9,10,10
"Eloy Jiménez","Chicago White Sox","OF",9,11.5,9.85714285714286
"Daulton Varsho","Toronto Blue Jays","OF",8.9,16.3,9.48169934640523
"Brandon Belt","Toronto Blue Jays","IF",8.8,27.5,9.13207547169811
"Tim Anderson","Chicago White Sox","IF",8.7,16.7,9.25414012738853
"Christian Yelich","Milwaukee Brewers","OF",8.6,15,9.21428571428571
"Luis Robert Jr.","Chicago White Sox","OF",8.6,15.6,9.18904109589041
"Matt Chapman","Toronto Blue Jays","IF",8.6,23.2,8.98738738738739
"Luke Voit","Milwaukee Brewers","IF",8.6,32.8,8.87044025157233
"José Abreu","Houston Astros","IF",8.4,20.2,8.8375
"Jeremy Peña","Houston Astros","IF",8.2,25.1,8.5402489626556
"Rowdy Tellez","Milwaukee Brewers","IF",8.2,30.4,8.47891156462585
"Brendan Donovan","St. Louis Cardinals","IF",8.1,30.4,8.37551020408163
"Andrew Vaughn","Chicago White Sox","IF",8.1,31.9,8.3621359223301
"Nolan Arenado","St. Louis Cardinals","IF",8,16.2,8.52631578947368
"Tyler O'Neill","St. Louis Cardinals","OF",7.9,27,8.20384615384615
"Chas McCormick","Houston Astros","OF",7.9,35.5,8.12898550724638
"Andrew Benintendi","Chicago White Sox","OF",7.8,27.8,8.0910447761194
"Dansby Swanson","Chicago Cubs","IF",7.8,28,8.08888888888889
"Ian Happ","Chicago Cubs","OF",7.8,29.7,8.07177700348432
"Nico Hoerner","Chicago Cubs","IF",7.7,35.5,7.9231884057971
"Edwin Ríos","Chicago Cubs","IF",7.3,27.4,7.57651515151515
"Yoán Moncada","Chicago White Sox","IF",7.3,34.6,7.51726190476191
"Brian Anderson","Milwaukee Brewers","OF",7.3,34.8,7.51597633136095
"Mike Brosseau","Milwaukee Brewers","IF",7.2,19.4,7.59130434782609
"Nolan Gorman","St. Louis Cardinals","IF",7.2,35.4,7.4093023255814
"David Hensley","Houston Astros","IF",7,27.4,7.26515151515151
"Cody Bellinger","Chicago Cubs","OF",6.9,32.1,7.12186495176849
"Eric Hosmer","Chicago Cubs","IF",6.9,36,7.09714285714286
"Kevin Kiermaier","Toronto Blue Jays","OF",6.8,35.2,6.99883040935672
"Corey Julks","Houston Astros","OF",6.7,33.6,6.90552147239264
"Trey Mancini","Chicago Cubs","OF",6.7,35.6,6.89364161849711
"Tommy Edman","St. Louis Cardinals","IF",6.7,36,6.89142857142857
"Owen Miller","Milwaukee Brewers","IF",6.7,36,6.89142857142857
"Cavan Biggio","Toronto Blue Jays","IF",6.6,36,6.78857142857143
"Jordan Walker","St. Louis Cardinals","OF",6.5,33.9,6.69756838905775
"Elvis Andrus","Chicago White Sox","IF",6.5,NA,NA
"Seby Zavala","Chicago White Sox","IF",6.5,NA,NA
"Yainer Diaz","Houston Astros","IF",6.4,NA,NA
"Alec Burleson","St. Louis Cardinals","OF",6.1,35.6,6.27630057803468
"Nick Madrigal","Chicago Cubs","IF",5.4,NA,NA
"Andrew Knizner","St. Louis Cardinals","IF",5.3,34.25,5.4593984962406
"Tucker Barnhart","Chicago Cubs","IF",5.1,34.25,5.25338345864662
"Garrett Mitchell","Milwaukee Brewers","OF",2.8,36,2.88
